English,Translation,Dialect
Can you track my card for me?,هل يمكنك تتبع بطاقتي من أجلي؟,0
Will I be able to track the card that was sent to me?,هل سأتمكن من تتبع البطاقة التي تم إرسالها إلي؟,0
My card isn't here yet.,بطاقتي ليست هنا بعد.,0
My card still hasn't been delivered,ما زالت بطاقتي لم يتم تسليمها,0
Can I track when my card will be delivered?,هل يمكنني تتبع موعد تسليم بطاقتي؟,0
How long does it take for me to get my new card?,كم من الوقت يستغرق مني الحصول على بطاقتي الجديدة؟,0
Was there a way for me to get tracking for that?,هل كان هناك طريقة للحصول على تتبع لذلك؟,0
How can I track my card's delivery?,كيف يمكنني تتبع تسليم بطاقتي؟,0
Where is my new card if I haven't received it yet?,أين بطاقتي الجديدة إذا لم أستلمها بعد؟,0
How do I track the card you sent to me?,كيف أتتبع البطاقة التي أرسلتها إلي؟,0
Can the card was sen to me be tracked?,هل يمكن تتبع البطاقة التي تم إرسالها إلي؟,0
I'm still waiting on my new card to be delivered!,ما زلت في انتظار تسليم بطاقتي الجديدة!,0
My new card isn't here and it was issued a week ago.,بطاقتي الجديدة ليست هنا وقد تم إصدارها منذ أسبوع.,0
My card appears to have never arrived?,يبدو أن بطاقتي لم تصل أبدا؟,0
My card never arrived.,بطاقتي لم تصل قط.,0
how do I get my card to show in the app?,كيف يمكنني اظهار بيانات البطاقة في التطبيق؟,0
I found my card. How can I put it into my app?,لقد وجدت بطاقتي. كيف يمكنني وضعها في تطبيقي؟,0
How do I link one of your card that I already have?,كيف أربط إحدى بطاقتك الموجودة لدي بالفعل؟,0
How do I link an existing card?,كيف أقوم بربط بطاقة موجودة؟,0
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",أريد إعادة تنشيط بطاقتي ، ظننت أنني فقدتها لكنني وجدتها مرة أخرى في سترتي.,0
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",هل يمكنني إعادة تنشيط بطاقتي؟ لقد أبلغت سابقا عن فقدها ، لكنني وجدتها الآن آمنة وسليمة.,0
How do I reactivate a card I thought I lost?,كيف يمكنني إعادة تنشيط بطاقة اعتقدت أنني فقدتها؟,0
"I got a new card, how do I link it?",حصلت على بطاقة جديدة ، كيف أربطها؟,0
"I want to reactivate my card, I thought I had lost it but I found it.",أريد إعادة تنشيط بطاقتي ، ظننت أنني فقدتها ولكني وجدتها.,0
How do I get my card on the app?,كيف أحصل على بطاقتي في التطبيق؟,0
"I want to link to my card card with you, how?",اريد ربط بطاقتي معك، كيف ذلك؟,0
Where do I scan my card?,أين يمكنني مسح بطاقتي ضوئيا؟,0
How do I link a new payment card?,كيف اربط بطاقة دفع جديدة؟,0
What do I do to link my new card?,ماذا أفعل لربط بطاقتي الجديدة؟,0
I deactivated my card but would like to reactivate it.,لقد قمت بإلغاء تنشيط بطاقتي ولكني أرغب في إعادة تنشيطها.,0
I found my card again. Can I put it back into the app?,لقد وجدت بطاقتي مرة أخرى. هل يمكنني إعادتها إلى التطبيق؟,0
How do I see my card in the app?,كيف أرى بطاقتي في التطبيق؟,0
How is the exchange rate doing?,كيف هو أداء سعر الصرف؟,0
Do you know what your exchange rates are?,هل تعرف ما هي أسعار الصرف الخاصة بك؟,0
What is the basis of your exchange rates?,ما هو أساس أسعار الصرف الخاصة بك؟,0
Where are you getting your exchange rates from?,من أين تحصل على أسعار الصرف الخاصة بك؟,0
What are the exchange rates you assign?,ما هي أسعار الصرف التي تحددها؟,0
How do you determine exchange rates?,كيف تحدد أسعار الصرف؟,0
"When exchanging, how much are the rates?",عند التبادل ، كم هي الأسعار؟,0
How can I find your exchange rates?,كيف يمكنني العثور على أسعار الصرف الخاصة بك؟,0
What is the foreign exchange rate you will apply?,ما هو سعر الصرف الأجنبي الذي ستطبقه؟,0
What will my exchange rate be?,ماذا سيكون سعر الصرف الخاص بي؟,0
Where does the exchange rate stand right now?,أين سعر الصرف الآن؟,0
How are the exchange rates determined?,كيف تعمل على تحديد أسعار الصرف؟,0
The exchange rate was incorrect for an item I bought.,كان سعر الصرف غير صحيح لعنصر اشتريته.,0
The exchange rate on my payment doesn't look right,سعر الصرف في دفعتي لا يبدو صحيحا,0
I bought an item and the exchange rate was wrong.,اشتريت عنصرا وكان سعر الصرف خاطئا.,0
Exchange rate for my card payment is wrong,سعر الصرف لدفع بطاقتي خاطئ,0
I purchased something abroad and the incorrect exchange rate was applied.,اشتريت شيئا في الخارج وتم تطبيق سعر صرف غير صحيح.,0
Can you change the rate for the item I bought in a different currency as it is wrong?,هل يمكنك تغيير سعر السلعة التي اشتريتها بعملة مختلفة لأنها خاطئة؟,0
"I bought something in another currency, but the exchange rate was incorrect.",اشتريت شيئا بعملة أخرى ، لكن سعر الصرف كان غير صحيح.,0
The wrong exchange rate was used when I purchased an item.,تم استخدام سعر صرف خاطئ عندما اشتريت عنصرا.,0
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,يجب أن يكون سعر الصرف الخاص بدفعتي يوم السبت الماضي خاطئا لأنه تم تحصيل رسوم إضافية مني.,0
I believe you charged me too much to exchange my money,أعتقد أنك كلفتني كثيرا حتى أتبادل أموالي,0
Why was the exchange wrong for the item I purchased?,لماذا كان الاستبدال خاطئا للعنصر الذي اشتريته؟,0
The exchange rate for my electronic payment is incorrect.,سعر الصرف لسدادتي الإلكترونية غير صحيح.,0
"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?",مرحبا ، أعتقد أنه قد حدث خطأ في سعر الصرف لبطاقتي. هل يمكنك التحقق من سعر الصرف الرسمي بين البنوك بالنسبة لي؟,0
What is the reason for the extra fee on my statement?,ما هو سبب الرسوم الإضافية على البيان الخاص بي؟,0
Have have a small charge on my account from someone I purchased with but I'm not sure what it relates to.,يوجد رسوما بسيطة على حسابي من شخص اشتريت معه ولكني لست متأكدا مما يتعلق بها.,0
I see a $1 charge in a transaction.,أرى رسوما بقيمة 1 دولار في إحدى المعاملات.,0
$1 charge in transaction.,رسوم 1 دولار في المعاملة.,0
"I just looked at my app and it seems I was charged extra, why is that?",لقد ألقيت نظرة على تطبيقي ويبدو أنه تم تحصيل رسوم إضافية مني ، فلماذا؟,0
Why is there an extra fee charged?,لماذا يتم فرض رسوم إضافية؟,0
Why have I been charged an extra pound?,لماذا تم تحميلي جنيه إضافي؟,0
I got billed an extra pound!,حصلت على فاتورة جنيه إضافي!,0
I was charged an extra pound for no reason. Why is that?,لقد دفعت رطلا إضافيا بدون سبب. لماذا هذا؟,0
Why do i have an extra fee on my statement?,ما سبب وجود رسوم إضافية على البيان الخاص بي؟,0
Can you tell me about why the account I have was charged an extra 1$,هل يمكن أن تخبرني عن سبب تحصيل 1 دولار إضافي من حسابي؟,0
How can I find out about an extra fee on my statement?,كيف يمكنني معرفة الرسوم الإضافية في البيان الخاص بي؟,0
I wanted to know about a pending dollar that is on my statement.,أردت أن أعرف عن الدولار المعلق الموجود في بياني.,0
There is an extra 1£ charge on my app. Why did it charge me extra?,هناك رسوم إضافية بقيمة 1 جنيه إسترليني على تطبيقي. لماذا فرضت علي تكلفة إضافية؟,0
